,length,censored
0,1.471,1.0
1,1.09,1.0
2,0.77,1.0
3,0.46,1.0
4,0.378,1.0
5,0.616,1.0
6,1.102,1.0
7,0.537,1.0
8,1.333,1.0
9,0.303,0.0
10,0.221,0.0
11,0.391,0.0
12,0.323,0.0
13,0.976,0.0
14,0.326,0.0
15,0.119,0.0
16,0.323,0.0
17,0.571,0.0
18,0.586,0.0
19,0.197,0.0
20,0.852,0.0
21,0.827,0.0
22,1.033,0.0
23,0.337,1.0
24,0.591,0.0
25,0.782,0.0
26,0.977,1.0
27,0.31,0.0
28,0.906,1.0
29,0.431,0.0
30,0.47,0.0
31,0.264,0.0
32,0.184,0.0
33,0.261,0.0
34,0.621,0.0
35,0.914,0.0
36,0.233,0.0
37,2.334,0.0
38,0.254,0.0
39,0.327,0.0
